route_id,warstwa,z,do,tryb,czas,koszt_pln,srodek_kosztu_pln,notatka,alternatywa_czas,alternatywa_koszt_pln,alternatywa_notatka
can_to_city,local_hub,Guangzhou / Kanton,Guangzhou / Kanton,airport transfer,45-90 min,5-120 PLN,45,"Metro tanio, taxi/Didi wygodniej po przylocie 22:55.",,,
guangzhou_shunde,local_hub,Guangzhou / Kanton,Shunde / Foshan,metro / rail / taxi,1-2 h drzwi do drzwi,15-60 PLN,35,Najtańszy kulinarny day trip z Guangzhou.,,,
guangzhou_zhuhai,local_hub,Guangzhou / Kanton,Zhuhai,intercity rail,"1-1,5 h pociąg; 3-4 h z granicą do Makao",35-60 PLN,45,Budżetowa brama do Makao.,,,
zhuhai_macau,local_hub,Zhuhai,Makao,border crossing,30-90 min granica + lokalny transport,0-25 PLN,10,"Spać w Zhuhai, zwiedzać Makao w dzień.",,,
guangzhou_guilin,hub_hsr,Guangzhou / Kanton,Guilin,HSR,"2,5-3 h pociąg; 4-5 h hotel-hotel",80-140 PLN,110,Najlepszy dojazd do Guangxi.,,,
guilin_yangshuo,local_hub,Guilin,Yangshuo / Yulong River,HSR / bus / car,1-2 h,20-80 PLN,45,"Yangshuo lepsze na noclegi niż Guilin, jeśli chcecie krajobraz.",,,
guilin_nanning,hub_hsr,Guilin,Nanning,HSR,"2,5-3,5 h pociąg; ok. 4 h hotel-hotel",75-140 PLN,105,"Najprostszy sposób, żeby dołożyć Nanning po module Guilin/Yangshuo.",,,
nanning_fangchenggang,local_hub,Nanning,Fangchenggang / Dongxing,HSR / D-train,"ok. 50-70 min pociągiem; 1,5-2 h hotel-hotel",25-45 PLN,35,Day trip z Nanning na wybrzeże Guangxi i okolice granicy z Wietnamem; bez przenoszenia walizek.,,,
nanning_detian,local_hub,Nanning,Detian Waterfall / Mingshi,bus / tour / private car,"3,5-4,5 h w jedną stronę; 9-11 h cały day trip",120-250 PLN,185,Długi wypad krajobrazowy z Nanning. Robić tylko przy dobrych godzinach transportu albo z gotową wycieczką.,,,
nanning_shenzhen,hub_hsr,Nanning,Shenzhen,HSR,"5-6,5 h hotel-hotel",180-300 PLN,240,"Długi, ale prosty przejazd pętli: z Guangxi do bazy na Hongkong i dalszy skok do Chaoshan.",,,
yangshuo_shenzhen,optional,Yangshuo / Yulong River,Shenzhen,HSR via Guilin/Guangzhou,5-7 h drzwi do drzwi,150-260 PLN,200,"Długi, ale sensowny transfer do bazy na Hongkong.",,,
shenzhen_hongkong,local_hub,Shenzhen,Hongkong,metro border / HSR,"2-3,5 h day trip logistics",30-120 PLN,65,Day trip działa; Sylwester bez noclegu jest trudny.,,,
hongkong_macau,optional,Hongkong,Makao,ferry / HZMB bus,2-3 h realnie,70-130 PLN,95,Przy budżecie lepiej nie łączyć noclegów HK i Makao.,,,
shenzhen_chaozhou,hub_hsr,Shenzhen,Chaozhou / Shantou,HSR,"2-3 h pociąg; 3,5-4,5 h hotel-hotel",90-160 PLN,120,Dobry tani moduł kulinarny po Hongkongu.,,,
chaozhou_guangzhou,hub_hsr,Chaozhou / Shantou,Guangzhou / Kanton,HSR,2-3 h pociąg; 3-4 h hotel-hotel,80-160 PLN,120,Powrót do Guangzhou z buforem przed wylotem.,,,
